原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
NBSY-0218SD,0,25809,0.0,0.0,58.0,1218.0
NBSY-0218SD,0,25130,58.0,0.0,38.0,1220.0
NBSY-0218SD,0,25221,96.0,0.0,626.5,1210.0
NBSY-0218SD,0,25171,722.5,0.0,148.0,1210.0
NBSY-0218SD,0,25150,870.5,0.0,58.0,1210.0
NBSY-0218SD,0,25891,928.5,0.0,58.0,1210.0
NBSY-0218SD,0,25365,986.5,0.0,248.0,1198.0
NBSY-0218SD,0,25780,1234.5,0.0,248.0,1198.0
NBSY-0218SD,0,25687,1482.5,0.0,290.0,1188.0
NBSY-0218SD,0,25317,1772.5,0.0,58.0,1183.0
NBSY-0218SD,0,25647,1830.5,0.0,380.0,1098.0
NBSY-0218SD,0,25672,2210.5,0.0,38.0,1098.0
NBSY-0218SD,1,25586,0.0,0.0,498.0,1197.0
NBSY-0218SD,1,25259,498.0,0.0,448.0,1196.8
NBSY-0218SD,1,25092,946.0,0.0,383.0,1198.0
NBSY-0218SD,1,25274,1329.0,0.0,348.0,1198.0
NBSY-0218SD,1,25452,1677.0,0.0,329.0,1196.8
NBSY-0218SD,1,25839,2006.0,0.0,280.0,1198.0
NBSY-0218SD,1,25135,2286.0,0.0,58.0,1202.0
NBSY-0218SD,2,25619,0.0,0.0,466.0,1148.0
NBSY-0218SD,2,25828,466.0,0.0,350.0,1148.0
NBSY-0218SD,2,25231,816.0,0.0,377.0,1135.0
NBSY-0218SD,2,25754,1193.0,0.0,377.0,1135.0
NBSY-0218SD,2,25354,1570.0,0.0,359.0,1132.0
NBSY-0218SD,2,25269,1929.0,0.0,347.0,1132.0
NBSY-0218SD,2,25895,2276.0,0.0,58.0,1138.0
NBSY-0218SD,2,25536,2334.0,0.0,58.0,991.0
NBSY-0218SD,2,25825,0.0,1148.0,1760.0,65.0
NBSY-0218SD,3,25472,0.0,0.0,797.2,1120.0
NBSY-0218SD,3,25299,797.2,0.0,559.0,1112.0
NBSY-0218SD,3,25196,1356.2,0.0,557.0,1112.0
NBSY-0218SD,3,25717,1913.2,0.0,482.0,1111.0
NBSY-0218SD,3,25694,2395.2,0.0,43.0,1114.0
NBSY-0218SD,3,25432,0.0,1120.0,2228.0,58.0
NBSY-0218SD,3,25126,0.0,1178.0,2438.0,38.0
NBSY-0218SD,4,25736,0.0,0.0,1467.0,1090.0
NBSY-0218SD,4,25737,1467.0,0.0,312.0,1089.0
NBSY-0218SD,4,25308,1779.0,0.0,248.0,998.0
