批次序号,原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
0,XMJQ-0218S,0,444,0.0,0.0,1170.0,823.0
0,XMJQ-0218S,0,3452,1170.0,0.0,1170.0,823.0
0,XMJQ-0218S,0,443,0.0,823.0,1208.0,298.0
0,XMJQ-0218S,0,1365,1208.0,823.0,1207.0,298.0
0,XMJQ-0218S,0,2022,0.0,1121.0,1401.0,58.0
0,XMJQ-0218S,1,704,0.0,0.0,1171.0,698.0
0,XMJQ-0218S,1,534,1171.0,0.0,557.0,116.0
0,XMJQ-0218S,1,1413,1728.0,0.0,557.0,116.0
0,XMJQ-0218S,1,38,0.0,698.0,562.0,508.0
0,XMJQ-0218S,1,3793,562.0,698.0,562.0,508.0
0,XMJQ-0218S,1,4023,1124.0,698.0,562.0,508.0
0,XMJQ-0218S,2,3724,0.0,0.0,1401.0,577.0
0,XMJQ-0218S,2,1303,1401.0,0.0,735.0,578.0
0,XMJQ-0218S,2,1600,0.0,578.0,735.0,578.0
0,XMJQ-0218S,2,3589,735.0,578.0,656.5,577.0
0,XMJQ-0218S,2,2022,0.0,1156.0,1401.0,58.0
0,XMJQ-0218S,3,832,0.0,0.0,1846.0,558.0
0,XMJQ-0218S,3,2635,1846.0,0.0,562.0,527.0
0,XMJQ-0218S,3,951,0.0,558.0,1846.0,558.0
0,XMJQ-0218S,3,3564,0.0,1116.0,1401.0,58.0
0,XMJQ-0218S,4,725,0.0,0.0,1587.0,557.0
0,XMJQ-0218S,4,1408,0.0,558.0,1207.0,298.0
0,XMJQ-0218S,4,2140,1207.0,558.0,1207.0,298.0
0,XMJQ-0218S,4,2512,0.0,856.0,823.0,297.0
0,XMJQ-0218S,4,3158,823.0,856.0,823.0,297.0
0,XMJQ-0218S,4,924,1646.0,856.0,698.0,297.0
0,XMJQ-0218S,4,3564,0.0,1154.0,1401.0,58.0
0,XMJQ-0218S,5,2714,0.0,0.0,1207.0,298.0
0,XMJQ-0218S,5,2497,1207.0,0.0,823.0,297.0
0,XMJQ-0218S,5,4073,0.0,298.0,823.0,297.0
0,XMJQ-0218S,5,1736,823.0,298.0,698.0,297.0
0,XMJQ-0218S,5,4,0.0,596.0,823.0,277.5
0,XMJQ-0218S,5,493,823.0,596.0,823.0,277.5
0,XMJQ-0218S,5,620,1646.0,596.0,698.0,277.5
0,XMJQ-0218S,5,1550,0.0,873.5,823.0,277.5
0,XMJQ-0218S,5,2920,823.0,873.5,823.0,277.5
0,XMJQ-0218S,5,1769,1646.0,873.5,698.0,277.5
0,QKQ-0218S,0,2857,0.0,0.0,2098.0,1048.0
0,QKQ-0218S,0,3915,0.0,1048.0,992.0,58.0
0,QKQ-0218S,0,1941,0.0,1106.0,982.0,58.0
0,QKQ-0218S,0,1089,0.0,1164.0,711.0,53.0
0,QKQ-0218S,1,3988,0.0,0.0,2098.0,1048.0
0,QKQ-0218S,1,1518,0.0,1048.0,422.0,58.0
0,QKQ-0218S,1,1160,0.0,1106.0,360.0,58.0
0,QKQ-0218S,1,3541,0.0,1164.0,711.0,53.0
0,QKQ-0218S,2,1015,0.0,0.0,2098.0,945.0
0,QKQ-0218S,2,62,0.0,945.0,309.0,218.5
0,QKQ-0218S,2,1794,0.0,1163.5,1998.0,38.0
0,QKQ-0218S,3,728,0.0,0.0,992.0,944.5
0,QKQ-0218S,3,2165,992.0,0.0,992.0,944.5
0,QKQ-0218S,3,3305,0.0,944.5,309.0,218.5
0,QKQ-0218S,4,3415,0.0,0.0,992.0,944.5
0,QKQ-0218S,4,436,992.0,0.0,906.0,893.0
0,QKQ-0218S,4,2967,0.0,944.5,392.0,214.5
0,QKQ-0218S,4,1700,0.0,1159.0,360.0,58.0
0,QKQ-0218S,5,2833,0.0,0.0,2098.0,925.0
0,QKQ-0218S,5,2766,0.0,925.0,393.0,205.0
0,QKQ-0218S,5,1719,0.0,1130.0,360.0,58.0
0,QKQ-0218S,6,3646,0.0,0.0,992.0,926.0
0,QKQ-0218S,6,3950,992.0,0.0,992.0,926.0
0,QKQ-0218S,6,3423,0.0,926.0,393.0,205.0
0,QKQ-0218S,6,2015,0.0,1131.0,360.0,58.0
0,QKQ-0218S,7,3628,0.0,0.0,924.5,892.0
0,QKQ-0218S,7,2641,924.5,0.0,924.5,893.0
0,QKQ-0218S,7,1975,0.0,893.0,464.3,315.0
0,QKQ-0218S,7,2892,464.3,893.0,464.3,315.0
0,QKQ-0218S,7,3278,928.6,893.0,464.3,315.0
0,QKQ-0218S,7,3872,1392.9,893.0,464.3,315.0
0,QKQ-0218S,8,2908,0.0,0.0,924.5,893.0
0,QKQ-0218S,8,4102,924.5,0.0,906.0,892.0
0,QKQ-0218S,8,1013,0.0,893.0,805.0,298.0
0,QKQ-0218S,8,3967,805.0,893.0,805.0,298.0
0,QKQ-0218S,8,449,1610.0,893.0,762.0,299.0
0,QKQ-0218S,9,184,0.0,0.0,742.0,718.0
0,QKQ-0218S,9,313,742.0,0.0,742.0,718.0
0,QKQ-0218S,9,1737,1484.0,0.0,742.0,718.0
0,QKQ-0218S,9,681,0.0,718.0,530.0,498.0
0,QKQ-0218S,9,1863,530.0,718.0,530.0,498.0
0,QKQ-0218S,9,3828,1060.0,718.0,530.0,498.0
0,QKQ-0218S,9,2049,1590.0,718.0,530.0,498.5
0,QKQ-0218S,10,2156,0.0,0.0,742.0,718.0
0,QKQ-0218S,10,3036,742.0,0.0,958.0,648.0
0,QKQ-0218S,10,3048,0.0,718.0,945.0,497.0
0,QKQ-0218S,10,894,945.0,718.0,530.0,497.0
0,QKQ-0218S,10,1223,1475.0,718.0,530.0,497.0
0,QKQ-0218S,11,612,0.0,0.0,914.0,707.0
0,QKQ-0218S,11,1208,914.0,0.0,914.0,707.0
0,QKQ-0218S,11,182,0.0,707.0,1978.0,498.0
0,QKQ-0218S,12,1474,0.0,0.0,914.0,707.0
0,QKQ-0218S,12,3096,914.0,0.0,914.0,707.0
0,QKQ-0218S,12,3068,0.0,707.0,1900.0,477.0
0,QKQ-0218S,12,3012,1900.0,707.0,509.0,471.5
0,QKQ-0218S,13,1720,0.0,0.0,752.0,631.0
0,QKQ-0218S,13,3696,752.0,0.0,428.0,400.0
0,QKQ-0218S,13,4104,1180.0,0.0,428.0,400.0
0,QKQ-0218S,13,1051,1608.0,0.0,415.0,397.0
0,QKQ-0218S,13,1569,2023.0,0.0,415.0,397.0
0,QKQ-0218S,13,432,0.0,631.0,1839.0,577.0
0,QKQ-0218S,13,2328,1839.0,631.0,493.5,472.0
0,QKQ-0218S,14,76,0.0,0.0,1048.0,608.0
0,QKQ-0218S,14,2379,1048.0,0.0,1048.0,608.0
0,QKQ-0218S,14,3323,0.0,608.0,1995.0,598.0
0,QKQ-0218S,15,23088,0.0,0.0,1048.0,598.0
0,QKQ-0218S,15,3086,1048.0,0.0,714.0,595.0
0,QKQ-0218S,15,3883,0.0,598.0,714.0,595.0
0,QKQ-0218S,15,4062,714.0,598.0,833.5,465.0
0,QKQ-0218S,16,22178,0.0,0.0,880.0,573.0
0,QKQ-0218S,16,22420,880.0,0.0,880.0,573.0
0,QKQ-0218S,16,1711,0.0,577.0,1442.0,552.0
0,QKQ-0218S,16,1134,1442.0,577.0,982.0,557.0
0,QKQ-0218S,16,1661,0.0,1139.0,794.0,58.0
0,QKQ-0218S,16,2672,794.0,1139.0,794.0,58.0
0,QKQ-0218S,16,2922,1588.0,1139.0,362.0,58.0
0,QKQ-0218S,16,3994,1950.0,1139.0,362.0,58.0
0,QKQ-0218S,17,3463,0.0,0.0,1442.0,552.0
0,QKQ-0218S,17,2686,1442.0,0.0,982.0,557.0
0,QKQ-0218S,17,537,0.0,562.0,1677.0,553.0
0,QKQ-0218S,17,949,1677.0,562.0,741.0,562.0
0,QKQ-0218S,17,2590,0.0,1124.0,711.0,88.0
0,QKQ-0218S,17,3203,711.0,1124.0,711.0,88.0
0,QKQ-0218S,18,2128,0.0,0.0,1677.0,553.0
0,QKQ-0218S,18,1283,1677.0,0.0,741.0,562.0
0,QKQ-0218S,18,3684,0.0,562.0,1677.0,553.0
0,QKQ-0218S,18,2163,1677.0,562.0,741.0,562.0
0,QKQ-0218S,18,2098,0.0,1124.0,711.0,83.0
0,QKQ-0218S,18,2426,711.0,1124.0,711.0,83.0
0,QKQ-0218S,18,2947,1422.0,1124.0,711.0,83.0
0,QKQ-0218S,19,3469,0.0,0.0,741.0,562.0
0,QKQ-0218S,19,41,741.0,0.0,711.0,552.0
0,QKQ-0218S,19,3281,1452.0,0.0,711.0,552.0
0,QKQ-0218S,19,384,0.0,562.0,2098.0,558.0
0,QKQ-0218S,19,3657,0.0,1124.0,711.0,83.0
0,QKQ-0218S,20,608,0.0,0.0,2098.0,558.0
0,QKQ-0218S,20,4122,0.0,562.0,982.0,527.0
0,QKQ-0218S,20,1439,982.0,562.0,794.0,529.0
0,QKQ-0218S,20,2390,1776.0,562.0,608.0,529.0
0,QKQ-0218S,20,3058,0.0,1100.0,1882.0,58.0
0,QKQ-0218S,20,1390,1882.0,1100.0,415.5,58.0
0,QKQ-0218S,20,3840,0.0,1158.0,1882.0,58.0
0,QKQ-0218S,20,2709,1882.0,1158.0,401.0,58.0
0,QKQ-0218S,21,3073,0.0,0.0,794.0,529.0
0,QKQ-0218S,21,3700,794.0,0.0,794.0,529.0
0,QKQ-0218S,21,1966,1588.0,0.0,752.0,529.0
0,QKQ-0218S,21,3587,0.0,538.0,578.0,538.0
0,QKQ-0218S,21,721,578.0,538.0,553.0,526.0
0,QKQ-0218S,21,3399,1131.0,538.0,553.0,526.0
0,QKQ-0218S,21,3656,1684.0,538.0,553.0,526.0
0,QKQ-0218S,21,2489,0.0,1076.0,430.0,128.0
0,QKQ-0218S,22,3476,0.0,0.0,1108.0,526.0
0,QKQ-0218S,22,1156,1108.0,0.0,1108.0,528.0
0,QKQ-0218S,22,3116,0.0,538.0,752.0,529.0
0,QKQ-0218S,22,435,752.0,538.0,711.0,526.0
0,QKQ-0218S,22,3289,1463.0,538.0,711.0,526.0
0,QKQ-0218S,22,2873,0.0,1076.0,982.0,58.0
0,QKQ-0218S,22,3635,982.0,1076.0,893.0,58.0
0,QKQ-0218S,22,2161,1875.0,1076.0,395.5,58.0
0,QKQ-0218S,22,28,0.0,1134.0,1108.0,58.0
0,QKQ-0218S,22,1123,1108.0,1134.0,1108.0,58.0
0,QKQ-0218S,23,3388,0.0,0.0,711.0,526.0
0,QKQ-0218S,23,3464,711.0,0.0,711.0,526.0
0,QKQ-0218S,23,1363,1422.0,0.0,710.0,533.0
0,QKQ-0218S,23,2336,0.0,538.0,1108.0,528.0
0,QKQ-0218S,23,3034,1108.0,538.0,999.0,538.0
0,QKQ-0218S,23,2917,0.0,1076.0,1839.0,58.0
0,QKQ-0218S,23,21207,1839.0,1076.0,370.0,58.0
0,QKQ-0218S,23,3279,0.0,1134.0,1839.0,58.0
0,QKQ-0218S,23,22491,1839.0,1134.0,370.0,58.0
0,QKQ-0218S,24,262,0.0,0.0,2098.0,529.0
0,QKQ-0218S,24,1606,0.0,538.0,2098.0,529.0
0,QKQ-0218S,24,1160,0.0,1076.0,360.0,58.0
0,QKQ-0218S,24,1700,360.0,1076.0,360.0,58.0
0,QKQ-0218S,24,1719,720.0,1076.0,360.0,58.0
0,QKQ-0218S,24,2015,1080.0,1076.0,360.0,58.0
0,QKQ-0218S,24,1089,0.0,1134.0,711.0,53.0
0,QKQ-0218S,24,3541,711.0,1134.0,711.0,53.0
0,QKQ-0218S,25,1626,0.0,0.0,2098.0,529.0
0,QKQ-0218S,25,2024,0.0,538.0,2098.0,529.0
0,QKQ-0218S,25,3657,0.0,1067.0,711.0,83.0
0,QKQ-0218S,25,1661,0.0,1150.0,794.0,58.0
0,QKQ-0218S,26,8,0.0,0.0,2098.0,530.0
0,QKQ-0218S,26,170,0.0,538.0,2098.0,530.0
0,QKQ-0218S,26,2489,0.0,1068.0,430.0,128.0
0,QKQ-0218S,27,1184,0.0,0.0,2098.0,530.0
0,QKQ-0218S,27,1571,0.0,538.0,2098.0,530.0
0,QKQ-0218S,27,2672,0.0,1068.0,794.0,58.0
0,QKQ-0218S,27,2922,0.0,1126.0,362.0,58.0
0,QKQ-0218S,28,1630,0.0,0.0,2098.0,530.0
0,QKQ-0218S,28,1662,0.0,538.0,2098.0,530.0
0,QKQ-0218S,28,3994,0.0,1068.0,362.0,58.0
0,QKQ-0218S,28,2917,0.0,1126.0,1839.0,58.0
0,QKQ-0218S,29,2774,0.0,0.0,2098.0,530.0
0,QKQ-0218S,29,4127,0.0,538.0,2098.0,530.0
0,QKQ-0218S,29,21207,0.0,1068.0,370.0,58.0
0,QKQ-0218S,29,3279,0.0,1126.0,1839.0,58.0
0,QKQ-0218S,30,2475,0.0,0.0,710.0,533.0
0,QKQ-0218S,30,3805,710.0,0.0,598.5,530.0
0,QKQ-0218S,30,3575,1308.5,0.0,598.0,530.0
0,QKQ-0218S,30,1407,1906.5,0.0,505.0,505.0
0,QKQ-0218S,30,1598,0.0,538.0,1497.0,518.0
0,QKQ-0218S,30,1291,1497.0,538.0,925.0,507.0
0,QKQ-0218S,30,20487,0.0,1056.0,403.0,148.0
0,QKQ-0218S,30,20675,403.0,1056.0,403.0,148.0
0,QKQ-0218S,31,3552,0.0,0.0,794.0,510.0
0,QKQ-0218S,31,3932,794.0,0.0,794.0,510.0
0,QKQ-0218S,31,2909,1588.0,0.0,736.0,509.0
0,QKQ-0218S,31,3717,0.0,518.0,736.0,509.0
0,QKQ-0218S,31,3094,736.0,518.0,711.0,513.0
0,QKQ-0218S,31,3780,1447.0,518.0,711.0,513.0
0,QKQ-0218S,31,22491,0.0,1031.0,370.0,58.0
0,QKQ-0218S,31,2741,0.0,1089.0,1900.0,58.0
0,QKQ-0218S,31,2239,0.0,1147.0,422.0,58.0
0,QKQ-0218S,32,3401,0.0,0.0,558.0,508.5
0,QKQ-0218S,32,2356,558.0,0.0,530.0,507.0
0,QKQ-0218S,32,2517,1088.0,0.0,530.0,507.0
0,QKQ-0218S,32,1294,1618.0,0.0,529.0,508.0
0,QKQ-0218S,32,1567,0.0,518.0,529.0,508.0
0,QKQ-0218S,32,3440,529.0,518.0,529.0,508.0
0,QKQ-0218S,32,1457,1058.0,518.0,528.0,508.5
0,QKQ-0218S,32,67,1586.0,518.0,505.0,505.0
0,QKQ-0218S,33,4051,0.0,0.0,1108.0,509.0
0,QKQ-0218S,33,2327,1108.0,0.0,982.0,508.0
0,QKQ-0218S,33,2346,0.0,518.0,2034.0,505.0
0,QKQ-0218S,34,3669,0.0,0.0,2034.0,505.0
0,QKQ-0218S,34,856,0.0,518.0,2018.0,518.0
0,QKQ-0218S,35,538,0.0,0.0,2001.0,509.0
0,QKQ-0218S,35,19092,0.0,518.0,2334.0,476.0
0,QKQ-0218S,35,62,0.0,995.0,309.0,218.5
0,QKQ-0218S,35,3305,309.0,995.0,309.0,218.5
0,QKQ-0218S,35,2967,618.0,995.0,392.0,214.5
0,QKQ-0218S,36,19273,0.0,0.0,2334.0,476.0
0,QKQ-0218S,36,21514,0.0,477.0,2334.0,476.0
0,QKQ-0218S,36,941,0.0,954.0,709.0,203.5
0,QKQ-0218S,36,3567,709.0,954.0,709.0,203.5
0,QKQ-0218S,36,744,1418.0,954.0,393.0,205.0
0,QKQ-0218S,36,1473,1811.0,954.0,393.0,205.0
0,QKQ-0218S,36,248,0.0,1159.0,1900.0,58.0
0,QKQ-0218S,36,2601,1900.0,1159.0,500.0,58.0
0,QKQ-0218S,37,23111,0.0,0.0,2334.0,476.0
0,QKQ-0218S,37,548,0.0,477.0,2034.0,471.5
0,QKQ-0218S,37,2766,0.0,954.0,393.0,205.0
0,QKQ-0218S,37,3423,393.0,954.0,393.0,205.0
0,QKQ-0218S,37,3915,0.0,1159.0,992.0,58.0
0,QKQ-0218S,37,1941,992.0,1159.0,982.0,58.0
0,QKQ-0218S,37,1518,1974.0,1159.0,422.0,58.0
0,QKQ-0218S,38,388,0.0,0.0,984.0,475.0
0,QKQ-0218S,38,2675,984.0,0.0,984.0,475.0
0,QKQ-0218S,38,3084,0.0,477.0,984.0,475.0
0,QKQ-0218S,38,3664,984.0,477.0,984.0,475.0
0,QKQ-0218S,39,2727,0.0,0.0,833.5,464.0
0,QKQ-0218S,39,2868,833.5,0.0,833.5,464.0
0,QKQ-0218S,39,2862,1667.0,0.0,752.0,461.0
0,QKQ-0218S,39,160,0.0,465.0,1438.0,465.0
0,QKQ-0218S,39,1872,1438.0,465.0,833.5,464.0
0,QKQ-0218S,39,1144,0.0,930.0,752.0,277.5
0,QKQ-0218S,39,3905,752.0,930.0,361.0,277.5
0,QKQ-0218S,39,3011,1113.0,930.0,321.0,277.5
0,QKQ-0218S,39,4093,1434.0,930.0,290.0,277.5
0,QKQ-0218S,40,3396,0.0,0.0,2034.0,455.0
0,QKQ-0218S,40,2710,0.0,455.0,794.0,455.0
0,QKQ-0218S,40,643,794.0,455.0,495.0,455.0
0,QKQ-0218S,40,1095,1289.0,455.0,510.0,422.0
0,QKQ-0218S,40,61,1799.0,455.0,493.5,424.0
0,QKQ-0218S,40,1270,0.0,910.0,668.0,298.0
0,QKQ-0218S,40,3911,668.0,910.0,668.0,298.0
0,QKQ-0218S,40,562,1336.0,910.0,577.0,301.5
0,QKQ-0218S,40,2600,1913.0,910.0,477.0,301.5
0,QKQ-0218S,41,4105,0.0,0.0,1998.0,448.0
0,QKQ-0218S,41,21737,0.0,448.0,580.0,448.0
0,QKQ-0218S,41,23265,580.0,448.0,580.0,448.0
0,QKQ-0218S,41,1127,1160.0,448.0,445.0,432.0
0,QKQ-0218S,41,294,0.0,896.0,427.0,321.5
0,QKQ-0218S,41,2088,427.0,896.0,427.0,321.5
0,QKQ-0218S,41,490,854.0,896.0,408.0,321.5
0,QKQ-0218S,41,3133,1262.0,896.0,362.0,297.0
0,QKQ-0218S,41,1573,1624.0,896.0,362.0,299.0
